employee_id,score,pillar_code,year
EMP100000,2.0,GDR,2021.0
EMP100001,,GDR,2021.0
EMP100002,1.0,GDR,2021.0
EMP100003,,GDR,2021.0
EMP100004,3.0,GDR,2021.0
EMP100005,2.0,GDR,2021.0
EMP100006,4.0,GDR,2021.0
EMP100007,4.0,GDR,2021.0
EMP100008,5.0,GDR,2021.0
EMP100009,4.0,GDR,2021.0
EMP100010,2.0,GDR,2021.0
EMP100011,3.0,GDR,2021.0
EMP100012,,GDR,2021.0
EMP100013,,GDR,2021.0
EMP100014,1.0,GDR,2021.0
EMP100015,2.0,GDR,2021.0
EMP100016,2.0,GDR,2021.0
EMP100017,3.0,GDR,2021.0
EMP100018,3.0,GDR,2021.0
EMP100019,4.0,GDR,2021.0
EMP100020,,GDR,2021.0
EMP100021,5.0,GDR,2021.0
EMP100022,4.0,GDR,2021.0
EMP100023,3.0,GDR,2021.0
EMP100024,3.0,GDR,2021.0
EMP100025,,GDR,2021.0
EMP100026,,GDR,2021.0
EMP100027,5.0,GDR,2021.0
EMP100028,,GDR,2021.0
EMP100029,3.0,GDR,2021.0
EMP100030,1.0,GDR,2021.0
EMP100031,,GDR,2021.0
EMP100032,2.0,GDR,2021.0
EMP100033,2.0,GDR,2021.0
EMP100034,4.0,GDR,2021.0
EMP100035,3.0,GDR,2021.0
EMP100036,3.0,GDR,2021.0
EMP100037,2.0,GDR,2021.0
EMP100038,4.0,GDR,2021.0
EMP100039,4.0,GDR,2021.0
EMP100040,1.0,GDR,2021.0
EMP100041,1.0,GDR,2021.0
EMP100042,1.0,GDR,2021.0
EMP100043,5.0,GDR,2021.0
EMP100044,,GDR,2021.0
EMP100045,2.0,GDR,2021.0
EMP100046,3.0,GDR,2021.0
EMP100047,3.0,GDR,2021.0
EMP100048,2.0,GDR,2021.0
EMP100049,5.0,GDR,2021.0
EMP100050,2.0,GDR,2021.0
EMP100051,4.0,GDR,2021.0
EMP100052,,GDR,2021.0
EMP100053,5.0,GDR,2021.0
EMP100054,,GDR,2021.0
EMP100055,5.0,GDR,2021.0
EMP100056,5.0,GDR,2021.0
EMP100057,,GDR,2021.0
EMP100058,4.0,GDR,2021.0
EMP100059,1.0,GDR,2021.0
EMP100060,3.0,GDR,2021.0
EMP100061,2.0,GDR,2021.0
EMP100062,3.0,GDR,2021.0
EMP100063,5.0,GDR,2021.0
EMP100064,4.0,GDR,2021.0
EMP100065,4.0,GDR,2021.0
EMP100066,3.0,GDR,2021.0
EMP100067,,GDR,2021.0
EMP100068,2.0,GDR,2021.0
EMP100069,2.0,GDR,2021.0
EMP100070,4.0,GDR,2021.0
EMP100071,3.0,GDR,2021.0
EMP100072,1.0,GDR,2021.0
EMP100073,2.0,GDR,2021.0
EMP100074,5.0,GDR,2021.0
EMP100075,3.0,GDR,2021.0
EMP100076,,GDR,2021.0
EMP100077,2.0,GDR,2021.0
EMP100078,5.0,GDR,2021.0
EMP100079,,GDR,2021.0
EMP100080,4.0,GDR,2021.0
EMP100081,4.0,GDR,2021.0
EMP100082,4.0,GDR,2021.0
EMP100083,,GDR,2021.0
EMP100084,,GDR,2021.0
EMP100085,,GDR,2021.0
EMP100086,,GDR,2021.0
EMP100087,,GDR,2021.0
EMP100088,4.0,GDR,2021.0
EMP100089,4.0,GDR,2021.0
EMP100090,4.0,GDR,2021.0
EMP100091,,GDR,2021.0
EMP100092,3.0,GDR,2021.0
EMP100093,1.0,GDR,2021.0
EMP100094,1.0,GDR,2021.0
EMP100095,2.0,GDR,2021.0
EMP100096,3.0,GDR,2021.0
EMP100097,2.0,GDR,2021.0
EMP100098,4.0,GDR,2021.0
EMP100099,2.0,GDR,2021.0
EMP100100,4.0,GDR,2021.0
EMP100101,5.0,GDR,2021.0
EMP100102,,GDR,2021.0
EMP100103,4.0,GDR,2021.0
EMP100104,,GDR,2021.0
EMP100105,,GDR,2021.0
EMP100106,4.0,GDR,2021.0
EMP100107,4.0,GDR,2021.0
EMP100108,4.0,GDR,2021.0
EMP100109,4.0,GDR,2021.0
EMP100110,2.0,GDR,2021.0
EMP100111,3.0,GDR,2021.0
EMP100112,5.0,GDR,2021.0
EMP100113,4.0,GDR,2021.0
EMP100114,,GDR,2021.0
EMP100115,1.0,GDR,2021.0
EMP100116,1.0,GDR,2021.0
EMP100117,4.0,GDR,2021.0
EMP100118,4.0,GDR,2021.0
EMP100119,6.0,GDR,2021.0
EMP100120,3.0,GDR,2021.0
EMP100121,4.0,GDR,2021.0
EMP100122,,GDR,2021.0
EMP100123,1.0,GDR,2021.0
EMP100124,4.0,GDR,2021.0
EMP100125,,GDR,2021.0
EMP100126,2.0,GDR,2021.0
EMP100127,3.0,GDR,2021.0
EMP100128,1.0,GDR,2021.0
EMP100129,,GDR,2021.0
EMP100130,4.0,GDR,2021.0
EMP100131,3.0,GDR,2021.0
EMP100132,1.0,GDR,2021.0
EMP100133,1.0,GDR,2021.0
EMP100134,2.0,GDR,2021.0
EMP100135,,GDR,2021.0
EMP100136,2.0,GDR,2021.0
EMP100137,,GDR,2021.0
EMP100138,2.0,GDR,2021.0
EMP100139,,GDR,2021.0
EMP100140,3.0,GDR,2021.0
EMP100141,3.0,GDR,2021.0
EMP100142,3.0,GDR,2021.0
EMP100143,,GDR,2021.0
EMP100144,,GDR,2021.0
EMP100145,3.0,GDR,2021.0
EMP100146,3.0,GDR,2021.0
EMP100147,,GDR,2021.0
EMP100148,99.0,GDR,2021.0
EMP100149,3.0,GDR,2021.0
EMP100150,3.0,GDR,2021.0
EMP100151,1.0,GDR,2021.0
EMP100152,4.0,GDR,2021.0
EMP100153,3.0,GDR,2021.0
EMP100154,2.0,GDR,2021.0
EMP100155,4.0,GDR,2021.0
EMP100156,2.0,GDR,2021.0
EMP100157,,GDR,2021.0
EMP100158,,GDR,2021.0
EMP100159,1.0,GDR,2021.0
EMP100160,4.0,GDR,2021.0
EMP100161,1.0,GDR,2021.0
EMP100162,4.0,GDR,2021.0
EMP100163,4.0,GDR,2021.0
EMP100164,4.0,GDR,2021.0
EMP100165,,GDR,2021.0
EMP100166,2.0,GDR,2021.0
EMP100167,,GDR,2021.0
EMP100168,3.0,GDR,2021.0
EMP100169,3.0,GDR,2021.0
EMP100170,4.0,GDR,2021.0
EMP100171,,GDR,2021.0
EMP100172,,GDR,2021.0
EMP100173,2.0,GDR,2021.0
EMP100174,1.0,GDR,2021.0
EMP100175,2.0,GDR,2021.0
EMP100176,,GDR,2021.0
EMP100177,,GDR,2021.0
EMP100178,3.0,GDR,2021.0
EMP100179,4.0,GDR,2021.0
EMP100180,1.0,GDR,2021.0
EMP100181,3.0,GDR,2021.0
EMP100182,3.0,GDR,2021.0
EMP100183,,GDR,2021.0
EMP100184,,GDR,2021.0
EMP100185,2.0,GDR,2021.0
EMP100186,4.0,GDR,2021.0
EMP100187,2.0,GDR,2021.0
EMP100188,,GDR,2021.0
EMP100189,3.0,GDR,2021.0
EMP100190,1.0,GDR,2021.0
EMP100191,2.0,GDR,2021.0
EMP100192,1.0,GDR,2021.0
EMP100193,4.0,GDR,2021.0
EMP100194,2.0,GDR,2021.0
EMP100195,2.0,GDR,2021.0
EMP100196,2.0,GDR,2021.0
EMP100197,,GDR,2021.0
EMP100198,3.0,GDR,2021.0
EMP100199,3.0,GDR,2021.0
EMP100200,3.0,GDR,2021.0
EMP100201,3.0,GDR,2021.0
EMP100202,3.0,GDR,2021.0
EMP100203,1.0,GDR,2021.0
EMP100204,4.0,GDR,2021.0
EMP100205,,GDR,2021.0
EMP100206,2.0,GDR,2021.0
EMP100207,5.0,GDR,2021.0
EMP100208,,GDR,2021.0
EMP100209,4.0,GDR,2021.0
EMP100210,5.0,GDR,2021.0
EMP100211,,GDR,2021.0
EMP100212,,GDR,2021.0
EMP100213,1.0,GDR,2021.0
EMP100214,,GDR,2021.0
EMP100215,4.0,GDR,2021.0
EMP100216,,GDR,2021.0
EMP100217,1.0,GDR,2021.0
EMP100218,5.0,GDR,2021.0
EMP100219,,GDR,2021.0
EMP100220,3.0,GDR,2021.0
EMP100221,,GDR,2021.0
EMP100222,3.0,GDR,2021.0
EMP100223,,GDR,2021.0
EMP100224,2.0,GDR,2021.0
EMP100225,4.0,GDR,2021.0
EMP100226,,GDR,2021.0
EMP100227,5.0,GDR,2021.0
EMP100228,4.0,GDR,2021.0
EMP100229,,GDR,2021.0
EMP100230,3.0,GDR,2021.0
EMP100231,,GDR,2021.0
EMP100232,2.0,GDR,2021.0
EMP100233,4.0,GDR,2021.0
EMP100234,,GDR,2021.0
EMP100235,,GDR,2021.0
EMP100236,,GDR,2021.0
EMP100237,3.0,GDR,2021.0
EMP100238,1.0,GDR,2021.0
EMP100239,,GDR,2021.0
EMP100240,,GDR,2021.0
EMP100241,3.0,GDR,2021.0
EMP100242,5.0,GDR,2021.0
EMP100243,3.0,GDR,2021.0
EMP100244,4.0,GDR,2021.0
EMP100245,4.0,GDR,2021.0
EMP100246,4.0,GDR,2021.0
EMP100247,4.0,GDR,2021.0
EMP100248,,GDR,2021.0
EMP100249,3.0,GDR,2021.0
EMP100250,5.0,GDR,2021.0
EMP100251,3.0,GDR,2021.0
EMP100252,3.0,GDR,2021.0
EMP100253,5.0,GDR,2021.0
