employee_id,scale_code,score
EMP100000,Papi_N,2.0
EMP100001,Papi_N,8.0
EMP100002,Papi_N,9.0
EMP100003,Papi_N,9.0
EMP100004,Papi_N,7.0
EMP100005,Papi_N,
EMP100006,Papi_N,2.0
EMP100007,Papi_N,7.0
EMP100008,Papi_N,9.0
EMP100009,Papi_N,9.0
EMP100010,Papi_N,2.0
EMP100011,Papi_N,
EMP100012,Papi_N,8.0
EMP100013,Papi_N,5.0
EMP100014,Papi_N,8.0
EMP100015,Papi_N,9.0
EMP100016,Papi_N,6.0
EMP100017,Papi_N,2.0
EMP100018,Papi_N,8.0
EMP100019,Papi_N,1.0
EMP100020,Papi_N,7.0
EMP100021,Papi_N,9.0
EMP100022,Papi_N,
EMP100023,Papi_N,7.0
EMP100024,Papi_N,6.0
EMP100025,Papi_N,4.0
EMP100026,Papi_N,7.0
EMP100027,Papi_N,1.0
EMP100028,Papi_N,6.0
EMP100029,Papi_N,2.0
EMP100030,Papi_N,6.0
EMP100031,Papi_N,6.0
EMP100032,Papi_N,9.0
EMP100033,Papi_N,5.0
EMP100034,Papi_N,2.0
EMP100035,Papi_N,3.0
EMP100036,Papi_N,7.0
EMP100037,Papi_N,2.0
EMP100038,Papi_N,2.0
EMP100039,Papi_N,2.0
EMP100040,Papi_N,7.0
EMP100041,Papi_N,
EMP100042,Papi_N,8.0
EMP100043,Papi_N,8.0
EMP100044,Papi_N,4.0
EMP100045,Papi_N,3.0
EMP100046,Papi_N,1.0
EMP100047,Papi_N,9.0
EMP100048,Papi_N,5.0
EMP100049,Papi_N,6.0
EMP100050,Papi_N,5.0
EMP100051,Papi_N,7.0
EMP100052,Papi_N,5.0
EMP100053,Papi_N,3.0
EMP100054,Papi_N,3.0
EMP100055,Papi_N,8.0
EMP100056,Papi_N,5.0
EMP100057,Papi_N,2.0
EMP100058,Papi_N,4.0
EMP100059,Papi_N,6.0
EMP100060,Papi_N,4.0
EMP100061,Papi_N,8.0
EMP100062,Papi_N,5.0
EMP100063,Papi_N,8.0
EMP100064,Papi_N,7.0
EMP100065,Papi_N,8.0
EMP100066,Papi_N,3.0
EMP100067,Papi_N,7.0
EMP100068,Papi_N,
EMP100069,Papi_N,3.0
EMP100070,Papi_N,4.0
EMP100071,Papi_N,6.0
EMP100072,Papi_N,3.0
