employee_id,rating,year
EMP100000,2.0,2021.0
EMP100001,,2021.0
EMP100002,2.0,2021.0
EMP100003,,2021.0
EMP100004,3.0,2021.0
EMP100005,,2021.0
EMP100006,4.0,2021.0
EMP100007,4.0,2021.0
EMP100008,5.0,2021.0
EMP100009,,2021.0
EMP100010,2.0,2021.0
EMP100011,3.0,2021.0
EMP100012,,2021.0
EMP100013,,2021.0
EMP100014,2.0,2021.0
EMP100015,3.0,2021.0
EMP100016,2.0,2021.0
EMP100017,3.0,2021.0
EMP100018,3.0,2021.0
EMP100019,4.0,2021.0
EMP100020,3.0,2021.0
EMP100021,5.0,2021.0
EMP100022,4.0,2021.0
EMP100023,3.0,2021.0
EMP100024,3.0,2021.0
EMP100025,,2021.0
EMP100026,3.0,2021.0
EMP100027,,2021.0
EMP100028,,2021.0
EMP100029,4.0,2021.0
EMP100030,1.0,2021.0
EMP100031,4.0,2021.0
EMP100032,3.0,2021.0
EMP100033,3.0,2021.0
EMP100034,3.0,2021.0
EMP100035,2.0,2021.0
EMP100036,3.0,2021.0
EMP100037,1.0,2021.0
EMP100038,4.0,2021.0
EMP100039,4.0,2021.0
EMP100040,1.0,2021.0
EMP100041,1.0,2021.0
EMP100042,1.0,2021.0
EMP100043,5.0,2021.0
EMP100044,,2021.0
EMP100045,2.0,2021.0
EMP100046,3.0,2021.0
EMP100047,4.0,2021.0
EMP100048,3.0,2021.0
EMP100049,5.0,2021.0
EMP100050,2.0,2021.0
EMP100051,4.0,2021.0
EMP100052,,2021.0
EMP100053,5.0,2021.0
EMP100054,,2021.0
EMP100055,4.0,2021.0
EMP100056,5.0,2021.0
EMP100057,3.0,2021.0
EMP100058,3.0,2021.0
EMP100059,1.0,2021.0
EMP100060,4.0,2021.0
EMP100061,,2021.0
EMP100062,4.0,2021.0
EMP100063,5.0,2021.0
EMP100064,4.0,2021.0
EMP100065,4.0,2021.0
EMP100066,3.0,2021.0
EMP100067,3.0,2021.0
EMP100068,2.0,2021.0
EMP100069,,2021.0
EMP100070,4.0,2021.0
EMP100071,3.0,2021.0
EMP100072,2.0,2021.0
EMP100073,2.0,2021.0
EMP100074,5.0,2021.0
EMP100075,3.0,2021.0
EMP100076,,2021.0
EMP100077,2.0,2021.0
EMP100078,5.0,2021.0
EMP100079,3.0,2021.0
EMP100080,4.0,2021.0
EMP100081,4.0,2021.0
EMP100082,3.0,2021.0
EMP100083,,2021.0
EMP100084,,2021.0
EMP100085,,2021.0
EMP100086,,2021.0
EMP100087,,2021.0
EMP100088,4.0,2021.0
EMP100089,3.0,2021.0
EMP100090,4.0,2021.0
EMP100091,,2021.0
EMP100092,3.0,2021.0
EMP100093,1.0,2021.0
EMP100094,1.0,2021.0
EMP100095,2.0,2021.0
EMP100096,3.0,2021.0
EMP100097,0.0,2021.0
EMP100098,4.0,2021.0
EMP100099,2.0,2021.0
EMP100100,4.0,2021.0
EMP100101,4.0,2021.0
EMP100102,,2021.0
EMP100103,4.0,2021.0
EMP100104,5.0,2021.0
EMP100105,,2021.0
EMP100106,4.0,2021.0
EMP100107,4.0,2021.0
EMP100108,3.0,2021.0
EMP100109,,2021.0
EMP100110,2.0,2021.0
EMP100111,3.0,2021.0
EMP100112,,2021.0
EMP100113,4.0,2021.0
EMP100114,,2021.0
EMP100115,2.0,2021.0
EMP100116,1.0,2021.0
EMP100117,4.0,2021.0
EMP100118,4.0,2021.0
EMP100119,,2021.0
EMP100120,4.0,2021.0
EMP100121,4.0,2021.0
EMP100122,,2021.0
EMP100123,2.0,2021.0
EMP100124,,2021.0
EMP100125,4.0,2021.0
EMP100126,3.0,2021.0
EMP100127,3.0,2021.0
EMP100128,1.0,2021.0
EMP100129,,2021.0
EMP100130,3.0,2021.0
EMP100131,3.0,2021.0
EMP100132,1.0,2021.0
EMP100133,1.0,2021.0
EMP100134,2.0,2021.0
EMP100135,,2021.0
EMP100136,,2021.0
EMP100137,,2021.0
EMP100138,3.0,2021.0
EMP100139,,2021.0
EMP100140,3.0,2021.0
EMP100141,3.0,2021.0
EMP100142,3.0,2021.0
EMP100143,,2021.0
EMP100144,,2021.0
EMP100145,3.0,2021.0
EMP100146,3.0,2021.0
EMP100147,,2021.0
EMP100148,3.0,2021.0
EMP100149,3.0,2021.0
EMP100150,3.0,2021.0
EMP100151,1.0,2021.0
EMP100152,3.0,2021.0
EMP100153,3.0,2021.0
EMP100154,2.0,2021.0
EMP100155,3.0,2021.0
EMP100156,2.0,2021.0
EMP100157,,2021.0
EMP100158,,2021.0
EMP100159,1.0,2021.0
EMP100160,4.0,2021.0
EMP100161,1.0,2021.0
EMP100162,3.0,2021.0
EMP100163,4.0,2021.0
EMP100164,4.0,2021.0
EMP100165,,2021.0
EMP100166,2.0,2021.0
EMP100167,2.0,2021.0
EMP100168,3.0,2021.0
EMP100169,4.0,2021.0
EMP100170,4.0,2021.0
EMP100171,3.0,2021.0
EMP100172,,2021.0
EMP100173,2.0,2021.0
EMP100174,1.0,2021.0
EMP100175,3.0,2021.0
EMP100176,,2021.0
EMP100177,,2021.0
EMP100178,3.0,2021.0
EMP100179,4.0,2021.0
EMP100180,2.0,2021.0
EMP100181,2.0,2021.0
EMP100182,4.0,2021.0
EMP100183,,2021.0
EMP100184,3.0,2021.0
EMP100185,2.0,2021.0
EMP100186,4.0,2021.0
EMP100187,,2021.0
EMP100188,,2021.0
EMP100189,3.0,2021.0
EMP100190,1.0,2021.0
EMP100191,2.0,2021.0
EMP100192,1.0,2021.0
EMP100193,,2021.0
EMP100194,3.0,2021.0
EMP100195,2.0,2021.0
EMP100196,2.0,2021.0
EMP100197,,2021.0
EMP100198,2.0,2021.0
EMP100199,,2021.0
EMP100200,3.0,2021.0
EMP100201,2.0,2021.0
EMP100202,3.0,2021.0
EMP100203,2.0,2021.0
EMP100204,4.0,2021.0
EMP100205,,2021.0
EMP100206,2.0,2021.0
EMP100207,5.0,2021.0
EMP100208,2.0,2021.0
EMP100209,4.0,2021.0
EMP100210,4.0,2021.0
EMP100211,2.0,2021.0
EMP100212,,2021.0
EMP100213,1.0,2021.0
EMP100214,,2021.0
EMP100215,3.0,2021.0
EMP100216,,2021.0
EMP100217,,2021.0
EMP100218,5.0,2021.0
EMP100219,,2021.0
EMP100220,3.0,2021.0
EMP100221,,2021.0
EMP100222,3.0,2021.0
EMP100223,,2021.0
EMP100224,3.0,2021.0
EMP100225,,2021.0
EMP100226,,2021.0
EMP100227,5.0,2021.0
EMP100228,4.0,2021.0
EMP100229,,2021.0
EMP100230,3.0,2021.0
EMP100231,,2021.0
EMP100232,3.0,2021.0
EMP100233,4.0,2021.0
EMP100234,,2021.0
EMP100235,2.0,2021.0
EMP100236,,2021.0
EMP100237,,2021.0
EMP100238,2.0,2021.0
EMP100239,,2021.0
EMP100240,,2021.0
EMP100241,3.0,2021.0
EMP100242,5.0,2021.0
EMP100243,3.0,2021.0
EMP100244,4.0,2021.0
EMP100245,4.0,2021.0
EMP100246,3.0,2021.0
EMP100247,3.0,2021.0
EMP100248,,2021.0
EMP100249,3.0,2021.0
EMP100250,4.0,2021.0
EMP100251,0.0,2021.0
EMP100252,4.0,2021.0
EMP100253,4.0,2021.0
EMP100254,3.0,2021.0
EMP100255,4.0,2021.0
EMP100256,4.0,2021.0
EMP100257,4.0,2021.0
EMP100258,,2021.0
EMP100259,4.0,2021.0
EMP100260,3.0,2021.0
EMP100261,,2021.0
EMP100262,2.0,2021.0
EMP100263,4.0,2021.0
EMP100264,4.0,2021.0
EMP100265,3.0,2021.0
EMP100266,0.0,2021.0
EMP100267,3.0,2021.0
EMP100268,3.0,2021.0
EMP100269,4.0,2021.0
EMP100270,3.0,2021.0
EMP100271,4.0,2021.0
EMP100272,2.0,2021.0
EMP100273,,2021.0
EMP100274,2.0,2021.0
EMP100275,2.0,2021.0
EMP100276,4.0,2021.0
EMP100277,4.0,2021.0
EMP100278,3.0,2021.0
EMP100279,3.0,2021.0
EMP100280,1.0,2021.0
EMP100281,3.0,2021.0
EMP100282,4.0,2021.0
EMP100283,2.0,2021.0
EMP100284,4.0,2021.0
EMP100285,,2021.0
EMP100286,2.0,2021.0
EMP100287,,2021.0
EMP100288,3.0,2021.0
EMP100289,,2021.0
EMP100290,,2021.0
EMP100291,,2021.0
EMP100292,,2021.0
EMP100293,3.0,2021.0
EMP100294,,2021.0
EMP100295,3.0,2021.0
EMP100296,4.0,2021.0
EMP100297,3.0,2021.0
EMP100298,5.0,2021.0
EMP100299,,2021.0
EMP100300,4.0,2021.0
EMP100301,2.0,2021.0
EMP100302,,2021.0
EMP100303,2.0,2021.0
EMP100304,,2021.0
EMP100305,4.0,2021.0
EMP100306,4.0,2021.0
EMP100307,2.0,2021.0
EMP100308,4.0,2021.0
EMP100309,3.0,2021.0
EMP100310,3.0,2021.0
EMP100311,4.0,2021.0
EMP100312,,2021.0
EMP100313,4.0,2021.0
EMP100314,,2021.0
EMP100315,2.0,2021.0
EMP100316,2.0,2021.0
EMP100317,1.0,2021.0
EMP100318,2.0,2021.0
EMP100319,4.0,2021.0
EMP100320,2.0,2021.0
EMP100321,4.0,2021.0
EMP100322,4.0,2021.0
EMP100323,,2021.0
EMP100324,4.0,2021.0
EMP100325,2.0,2021.0
EMP100326,5.0,2021.0
EMP100327,3.0,2021.0
EMP100328,4.0,2021.0
EMP100329,2.0,2021.0
EMP100330,4.0,2021.0
EMP100331,,2021.0
EMP100332,4.0,2021.0
EMP100333,,2021.0
EMP100334,3.0,2021.0
EMP100335,5.0,2021.0
EMP100336,3.0,2021.0
EMP100337,3.0,2021.0
EMP100338,3.0,2021.0
EMP100339,1.0,2021.0
