employee_id,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki
EMP100000,86.0,75.0,SI,Steadiness-Influencer,,94.0,33.0,2.0
EMP100001,48.0,52.0,DS,Dominant-Steadiness,INTP,94.0,17.0,3.0
EMP100002,66.0,38.0,DC,Dominant-Conscientious,,109.0,20.0,3.0
EMP100003,39.0,63.0,SI,Steadiness-Influencer,ENTJ,85.0,39.0,3.0
EMP100004,75.0,100.0,,Steadiness-Conscientious,INTJ,134.0,21.0,9.0
EMP100005,69.0,35.0,DC,Dominant-Conscientious,,130.0,21.0,7.0
EMP100006,94.0,24.0,SC,Steadiness-Conscientious,ESFP,139.0,27.0,6.0
EMP100007,65.0,45.0,DS,Dominant-Steadiness,ESFJ,99.0,17.0,4.0
EMP100008,47.0,97.0,ID,Influencer-Dominant,INFP,137.0,23.0,1.0
EMP100009,21.0,84.0,DS,Dominant-Steadiness,ISFP,82.0,29.0,4.0
EMP100010,43.0,61.0,CI,Conscientious-Influencer,ESTJ,84.0,42.0,2.0
EMP100011,45.0,31.0,DI,Dominant-Influencer,ENFP,125.0,31.0,10.0
EMP100012,20.0,70.0,DS,Dominant-Steadiness,ISFJ,108.0,43.0,10.0
EMP100013,88.0,32.0,IC,Influencer-Conscientious,ENTP,124.0,33.0,9.0
EMP100014,92.0,54.0,SI,Steadiness-Influencer,ISTJ,92.0,24.0,7.0
EMP100015,65.0,77.0,DC,Dominant-Conscientious,ENFP,,,7.0
EMP100016,83.0,93.0,SI,Steadiness-Influencer,ISTP,97.0,34.0,5.0
EMP100017,55.0,80.0,CS,Conscientious-Steadiness,ENTJ,107.0,31.0,1.0
EMP100018,66.0,69.0,SC,Steadiness-Conscientious,ESFJ,,28.0,3.0
EMP100019,28.0,72.0,CD,Conscientious-Dominant,ISTP,125.0,23.0,10.0
EMP100020,83.0,83.0,DC,Dominant-Conscientious,ENFP,132.0,33.0,1.0
EMP100021,22.0,34.0,CS,Conscientious-Steadiness,INFP,,,2.0
EMP100022,49.0,94.0,,Influencer-Conscientious,ISTP,91.0,35.0,8.0
EMP100023,86.0,52.0,DC,Dominant-Conscientious,ESTJ,139.0,30.0,5.0
EMP100024,64.0,23.0,CD,Conscientious-Dominant,ESTP,134.0,23.0,5.0
EMP100025,53.0,71.0,CS,Conscientious-Steadiness,ESTJ,,34.0,8.0
EMP100026,96.0,37.0,IS,Influencer-Steadiness,ESFJ,107.0,32.0,4.0
EMP100027,93.0,76.0,SC,Steadiness-Conscientious,INFP,97.0,18.0,9.0
EMP100028,95.0,71.0,SI,Steadiness-Influencer,INFP,107.0,20.0,3.0
EMP100029,93.0,85.0,DC,Dominant-Conscientious,INTP,105.0,29.0,10.0
EMP100030,46.0,100.0,DS,Dominant-Steadiness,ESTJ,110.0,22.0,4.0
EMP100031,34.0,93.0,CD,Conscientious-Dominant,INTJ,103.0,35.0,3.0
EMP100032,29.0,85.0,DS,Dominant-Steadiness,ENTJ,,36.0,7.0
EMP100033,53.0,83.0,ID,Influencer-Dominant,ENFP,117.0,23.0,6.0
EMP100034,34.0,35.0,DS,Dominant-Steadiness,ENFP,116.0,35.0,5.0
EMP100035,84.0,36.0,DI,Dominant-Influencer,,103.0,28.0,7.0
EMP100036,96.0,81.0,CD,Conscientious-Dominant,ESFJ,120.0,28.0,3.0
EMP100037,45.0,41.0,,Conscientious-Influencer,ISTJ,,,1.0
EMP100038,28.0,51.0,IC,Influencer-Conscientious,ESFP,93.0,36.0,2.0
EMP100039,51.0,52.0,SI,Steadiness-Influencer,ISFP,125.0,41.0,9.0
EMP100040,55.0,36.0,ID,Influencer-Dominant,ESTP,112.0,24.0,10.0
EMP100041,53.0,32.0,IS,Influencer-Steadiness,ISTJ,86.0,25.0,7.0
EMP100042,63.0,43.0,CD,Conscientious-Dominant,ENFP,139.0,25.0,1.0
EMP100043,41.0,97.0,SD,Steadiness-Dominant,ESFJ,,,9.0
EMP100044,74.0,44.0,ID,Influencer-Dominant,ESFP,82.0,41.0,5.0
EMP100045,99.0,71.0,DS,Dominant-Steadiness,ISTJ,111.0,23.0,1.0
EMP100046,67.0,91.0,,Dominant-Conscientious,ISTJ,,,6.0
EMP100047,61.0,55.0,ID,Influencer-Dominant,ISTJ,110.0,22.0,1.0
EMP100048,37.0,32.0,SI,Steadiness-Influencer,ESFJ,125.0,36.0,1.0
EMP100049,94.0,30.0,DC,Dominant-Conscientious,INTP,133.0,27.0,5.0
EMP100050,81.0,54.0,DC,Dominant-Conscientious,,131.0,32.0,6.0
EMP100051,94.0,61.0,CS,Conscientious-Steadiness,INFP,110.0,36.0,7.0
EMP100052,69.0,55.0,IC,Influencer-Conscientious,ISTJ,126.0,36.0,10.0
EMP100053,97.0,71.0,IS,Influencer-Steadiness,ISFJ,140.0,23.0,5.0
EMP100054,23.0,42.0,SI,Steadiness-Influencer,ISTJ,88.0,36.0,8.0
EMP100055,50.0,80.0,DS,Dominant-Steadiness,INFJ,124.0,26.0,9.0
EMP100056,44.0,20.0,CI,Conscientious-Influencer,INTJ,,,5.0
EMP100057,39.0,27.0,IS,Influencer-Steadiness,ENTP,123.0,35.0,9.0
EMP100058,60.0,96.0,CS,Conscientious-Steadiness,INTJ,,,8.0
EMP100059,64.0,77.0,SI,Steadiness-Influencer,,92.0,13.0,9.0
EMP100060,46.0,96.0,CS,Conscientious-Steadiness,ENTP,,,7.0
EMP100061,92.0,22.0,IC,Influencer-Conscientious,ENTP,,,6.0
EMP100062,42.0,25.0,,Dominant-Influencer,ISTP,89.0,31.0,8.0
EMP100063,45.0,96.0,SC,Steadiness-Conscientious,ESFP,,,8.0
EMP100064,55.0,27.0,IS,Influencer-Steadiness,ESTP,96.0,26.0,4.0
EMP100065,22.0,29.0,CS,Conscientious-Steadiness,ISFP,90.0,34.0,10.0
EMP100066,54.0,64.0,CD,Conscientious-Dominant,ENTJ,84.0,28.0,10.0
EMP100067,40.0,38.0,SD,Steadiness-Dominant,INTJ,101.0,20.0,6.0
EMP100068,34.0,60.0,DI,Dominant-Influencer,INTP,,16.0,5.0
EMP100069,36.0,41.0,IC,Influencer-Conscientious,INFJ,93.0,36.0,10.0
EMP100070,74.0,38.0,DC,Dominant-Conscientious,ENFJ,137.0,36.0,2.0
EMP100071,38.0,52.0,DC,Dominant-Conscientious,ENTP,107.0,35.0,7.0
EMP100072,92.0,40.0,CI,Conscientious-Influencer,INFP,87.0,32.0,4.0
EMP100073,42.0,31.0,IC,Influencer-Conscientious,ESTJ,104.0,35.0,9.0
EMP100074,52.0,76.0,CI,Conscientious-Influencer,INTJ,131.0,25.0,4.0
EMP100075,31.0,78.0,ID,Influencer-Dominant,INTP,,,2.0
EMP100076,90.0,52.0,IS,Influencer-Steadiness,ESFP,80.0,34.0,4.0
EMP100077,79.0,57.0,CD,Conscientious-Dominant,ENFJ,135.0,32.0,1.0
EMP100078,99.0,46.0,SI,Steadiness-Influencer,ISTP,84.0,19.0,8.0
EMP100079,22.0,38.0,DS,Dominant-Steadiness,ISTJ,122.0,23.0,5.0
EMP100080,55.0,29.0,DC,Dominant-Conscientious,ENFJ,87.0,36.0,8.0
EMP100081,49.0,31.0,CS,Conscientious-Steadiness,ENFP,138.0,23.0,7.0
EMP100082,94.0,39.0,,Conscientious-Steadiness,INTP,133.0,27.0,6.0
EMP100083,50.0,81.0,CD,Conscientious-Dominant,ENTJ,99.0,30.0,2.0
EMP100084,56.0,48.0,SD,Steadiness-Dominant,,118.0,36.0,5.0
EMP100085,86.0,61.0,,Conscientious-Steadiness,ENTJ,,26.0,8.0
EMP100086,79.0,76.0,IC,Influencer-Conscientious,ISTJ,110.0,36.0,3.0
EMP100087,36.0,63.0,DS,Dominant-Steadiness,ENFP,109.0,25.0,2.0
EMP100088,29.0,88.0,CS,Conscientious-Steadiness,ISFP,83.0,29.0,5.0
EMP100089,97.0,26.0,CD,Conscientious-Dominant,,,,10.0
EMP100090,48.0,96.0,DS,Dominant-Steadiness,ESTJ,,29.0,1.0
EMP100091,36.0,83.0,DS,Dominant-Steadiness,ENFP,102.0,23.0,6.0
EMP100092,43.0,51.0,IC,Influencer-Conscientious,ENTJ,,,1.0
EMP100093,71.0,31.0,CS,Conscientious-Steadiness,ENTP,93.0,24.0,3.0
EMP100094,24.0,50.0,SD,Steadiness-Dominant,INFJ,95.0,16.0,6.0
EMP100095,66.0,40.0,SC,Steadiness-Conscientious,ISFJ,,,5.0
EMP100096,42.0,78.0,SI,Steadiness-Influencer,ENTJ,,20.0,7.0
EMP100097,44.0,76.0,DC,Dominant-Conscientious,INFJ,,32.0,2.0
EMP100098,37.0,32.0,ID,Influencer-Dominant,ENTJ,128.0,17.0,9.0
EMP100099,52.0,80.0,SC,Steadiness-Conscientious,ESTJ,,,7.0
EMP100100,44.0,56.0,DC,Dominant-Conscientious,,,,6.0
EMP100101,35.0,97.0,IC,Influencer-Conscientious,ESTJ,81.0,26.0,2.0
EMP100102,47.0,89.0,SI,Steadiness-Influencer,INTJ,111.0,19.0,5.0
EMP100103,62.0,73.0,,Influencer-Steadiness,ESTJ,105.0,26.0,2.0
EMP100104,80.0,37.0,DC,Dominant-Conscientious,ISTP,102.0,23.0,9.0
EMP100105,50.0,45.0,SC,Steadiness-Conscientious,ENFJ,,,7.0
EMP100106,72.0,49.0,CD,Conscientious-Dominant,ENFJ,102.0,29.0,4.0
EMP100107,28.0,59.0,CI,Conscientious-Influencer,ISFP,104.0,41.0,9.0
EMP100108,73.0,70.0,DC,Dominant-Conscientious,ISTP,129.0,27.0,5.0
EMP100109,90.0,96.0,DC,Dominant-Conscientious,ESFP,91.0,16.0,4.0
EMP100110,36.0,63.0,SD,Steadiness-Dominant,INFP,97.0,37.0,5.0
